date,1. open,2. high,3. low,4. close,5. volume
2019-08-02 09:31:00,111.8,111.865,111.8,111.865,0.0
2019-08-02 09:32:00,111.89,111.89,111.89,111.89,502.0
2019-08-02 09:34:00,111.9,111.9,111.9,111.9,200.0
2019-08-02 09:35:00,111.94,111.95,111.94,111.95,241.0
2019-08-02 09:36:00,112.05,112.05,111.84,111.86,1654.0
2019-08-02 09:37:00,111.7491,111.7491,111.7491,111.7491,121.0
2019-08-02 09:38:00,111.71,111.85,111.68,111.85,302.0
2019-08-02 09:39:00,111.84,111.84,111.84,111.84,100.0
2019-08-02 09:40:00,111.84,111.84,111.84,111.84,300.0
2019-08-02 09:41:00,111.82,111.82,111.745,111.745,947.0
2019-08-02 09:42:00,111.82,111.82,111.82,111.82,791.0
2019-08-02 09:45:00,111.7,111.7,111.7,111.7,100.0
2019-08-02 09:46:00,111.7,111.7,111.69,111.69,351.0
2019-08-02 09:47:00,111.81,111.81,111.66,111.66,215.0
2019-08-02 09:48:00,111.63,111.67,111.62,111.67,766.0
2019-08-02 09:49:00,111.7,111.7,111.7,111.7,173.0
2019-08-02 09:50:00,111.58,111.58,111.58,111.58,172.0
2019-08-02 09:51:00,111.7,111.7,111.7,111.7,100.0
2019-08-02 09:52:00,111.71,111.82,111.71,111.82,341.0
2019-08-02 09:53:00,111.84,111.94,111.84,111.94,2449.0
2019-08-02 09:54:00,111.93,111.935,111.93,111.935,693.0
2019-08-02 09:55:00,112.04,112.04,112.04,112.04,376.0
2019-08-02 09:56:00,112.16,112.16,111.98,111.98,799.0
2019-08-02 09:59:00,112.02,112.02,112.02,112.02,701.0
2019-08-02 10:02:00,111.925,111.925,111.925,111.925,110.0
2019-08-02 10:03:00,111.85,111.86,111.65,111.74,1945.0
2019-08-02 10:04:00,111.745,111.745,111.745,111.745,141.0
2019-08-02 10:05:00,111.755,111.755,111.755,111.755,200.0
2019-08-02 10:06:00,111.76,111.84,111.76,111.84,693.0
2019-08-02 10:07:00,111.9,111.9,111.79,111.79,1620.0
2019-08-02 10:08:00,111.8225,111.855,111.785,111.785,520.0
2019-08-02 10:09:00,111.855,112.08,111.785,111.96,11485.0
2019-08-02 10:11:00,111.94,111.95,111.93,111.93,911.0
2019-08-02 10:12:00,111.97,112.02,111.96,112.0,5257.0
2019-08-02 10:14:00,111.83,111.84,111.83,111.84,785.0
2019-08-02 10:15:00,111.79,111.79,111.7,111.745,730.0
2019-08-02 10:17:00,111.735,111.78,111.735,111.78,2233.0
2019-08-02 10:18:00,111.74,111.74,111.69,111.69,1143.0
2019-08-02 10:22:00,111.51,111.51,111.47,111.47,612.0
2019-08-02 10:23:00,111.58,111.58,111.58,111.58,162.0
2019-08-02 10:24:00,111.62,111.62,111.59,111.59,367.0
2019-08-02 10:25:00,111.64,111.69,111.64,111.69,270.0
