date,1. open,2. high,3. low,4. close,5. volume
2019-08-02 09:32:00,160.705,160.71,160.53,160.7,0.0
2019-08-02 09:33:00,160.87,161.07,160.86,161.055,3845.0
2019-08-02 09:34:00,160.79,161.12,160.79,161.11,1766.0
2019-08-02 09:35:00,161.02,161.13,161.02,161.1,1374.0
2019-08-02 09:36:00,161.0084,161.02,160.9086,160.9086,3695.0
2019-08-02 09:37:00,161.05,161.21,161.0418,161.165,4647.0
2019-08-02 09:38:00,161.2,161.24,161.13,161.17,5981.0
2019-08-02 09:39:00,161.185,161.344,161.185,161.29,2990.0
2019-08-02 09:40:00,161.31,161.45,161.25,161.405,1609.0
2019-08-02 09:41:00,161.36,161.4231,161.13,161.13,7388.0
2019-08-02 09:42:00,161.22,161.31,161.22,161.31,2004.0
2019-08-02 09:43:00,161.16,161.22,161.1,161.1,4471.0
2019-08-02 09:44:00,161.1,161.15,161.05,161.1,3066.0
2019-08-02 09:45:00,161.08,161.125,161.03,161.08,17246.0
2019-08-02 09:46:00,161.08,161.1,161.06,161.07,2708.0
2019-08-02 09:47:00,161.08,161.22,161.07,161.16,52078.0
2019-08-02 09:48:00,161.16,161.16,161.0,161.0454,24704.0
2019-08-02 09:49:00,161.0,161.09,160.95,161.05,13888.0
2019-08-02 09:50:00,161.1,161.11,161.05,161.075,4823.0
2019-08-02 09:51:00,161.1,161.205,161.09,161.1,5713.0
2019-08-02 09:52:00,161.05,161.09,161.05,161.05,2240.0
2019-08-02 09:53:00,161.03,161.05,161.0,161.0,5426.0
2019-08-02 09:54:00,161.05,161.085,161.02,161.055,6438.0
2019-08-02 09:55:00,161.03,161.14,161.03,161.13,6453.0
2019-08-02 09:56:00,161.12,161.17,161.1,161.1,4663.0
2019-08-02 09:57:00,161.075,161.11,161.05,161.11,9465.0
2019-08-02 09:58:00,161.08,161.14,161.04,161.11,8894.0
2019-08-02 09:59:00,161.1,161.12,161.06,161.1,8127.0
2019-08-02 10:00:00,161.115,161.17,161.0772,161.13,6992.0
2019-08-02 10:01:00,161.16,161.215,161.1,161.215,4829.0
2019-08-02 10:02:00,161.24,161.24,160.91,160.95,20790.0
